Year,Women,Men
1937,0,1
1946,0,1
1948,1,1
1949,0,1
1950,0,2
1951,0,2
1952,1,0
1953,0,2
1954,0,2
1955,0,1
1956,0,3
1957,0,5
1958,1,2
1959,1,5
1960,0,1
1961,1,2
1962,2,4
1963,0,5
1964,2,1
1966,0,4
1967,1,5
1968,2,6
1969,0,5
1970,3,9
1971,0,8
1972,2,10
1973,1,9
1974,0,13
1975,2,16
1976,1,14
1977,2,14
1978,0,27
1979,2,19
1980,3,19
1981,2,19
1982,7,19
1983,2,19
1984,5,21
1985,4,23
1986,4,23
1987,5,22
1988,4,26
1989,6,28
1990,7,23
1991,7,27
1992,9,29
1993,6,36
1994,10,32
1995,7,27
1996,7,30
1997,14,28
1998,9,26
1999,17,22
2000,10,21
2001,15,23
2002,10,20
2003,11,21
2004,20,24
2005,23,18
2006,26,23
2007,22,20
2008,32,23
2009,35,29
2010,46,27
2011,48,25
2012,63,34
2013,53,35
2014,27,11
